Name,Oracle,Trigger 1,Trigger 2,Trigger 3,Trigger 4,Trigger 5
Ancestor's Chosen,"First strike.    When Ancestor's Chosen enters the battlefield, you gain 1 life for each card in your graveyard.",Lapsing,,,,
Ancestor's Prophet,Tap five untapped Clerics you control: You gain 10 life.,,,,,
Ancestral Knowledge,"Cumulative upkeep 1.    When Ancestral Knowledge enters the battlefield, look at the top ten cards of your library, then exile any number of them and put the rest back on top of your library in any order.    When Ancestral Knowledge leaves the battlefield, shuffle your library.",Mandatory,Optional,Mandatory,,
Ancestral Mask,Enchant creature.    Enchanted creature gets +2/+2 for each other enchantment on the battlefield.,,,,,
Ancestral Memories,Look at the top seven cards of your library.  Put two of them into your hand and the rest into your graveyard.,,,,,
Ancestral Recall,Target player draws three cards.,,,,,
Ancestral Tribute,You gain 2 life for each card in your graveyard.    Flashback 9WWW.,,,,,
Ancestral Vision,[U] Suspend 4 - U.    Target player draws three cards.,Mandatory,Mandatory,,,
Ancient Amphitheater,"As Ancient Amphitheater enters the battlefield, you may reveal a Giant card from your hand.  If you don't, Ancient Amphitheater enters the battlefield tapped.    T: Add R or W to your mana pool.",,,,,
Ancient Craving,You draw three cards and you lose 3 life.,,,,,
Ancient Den,T: Add W to your mana pool.,,,,,
Ancient Grudge,Destroy target artifact.    Flashback G.,,,,,
Ancient Hellkite,Flying.    R: Ancient Hellkite deals 1 damage to target creature defending player controls.  Activate this ability only if Ancient Hellkite is attacking.,,,,,
Ancient Hydra,"Fading 5.    1, Remove a fade counter from Ancient Hydra: Ancient Hydra deals 1 damage to target creature or player.",Mandatory,Mandatory,,,
Ancient Kavu,2: Ancient Kavu becomes colorless until end of turn.,,,,,
Ancient Ooze,Ancient Ooze's power and toughness are each equal to the total converted mana cost of other creatures you control.,,,,,
Ancient Runes,"At the beginning of each player's upkeep, Ancient Runes deals damage to that player equal to the number of artifacts he or she controls.",Mandatory,,,,
Ancient Silverback,G: Regenerate Ancient Silverback.,,,,,
Ancient Spider,First strike; reach,,,,,
Ancient Spring,"Ancient Spring enters the battlefield tapped.    T: Add U to your mana pool.    T, Sacrifice Ancient Spring: Add WB to your mana pool.",,,,,
Ancient Stirrings,Look at the top five cards of your library.  You may reveal a colorless card from among them and put it into your hand.  Then put the rest on the bottom of your library in any order.,,,,,
Ancient Tomb,T: Add 2 to your mana pool.  Ancient Tomb deals 2 damage to you.,,,,,
Ancient Ziggurat,T: Add one mana of any color to your mana pool.  Spend this mana only to cast a creature spell.,,,,,
Andradite Leech,Black spells you cast cost B more to cast.    B: Andradite Leech gets +1/+1 until end of turn.,,,,,
Angel of Despair,"Flying.    When Angel of Despair enters the battlefield, destroy target permanent.",Lapsing,,,,
Angel of Flight Alabaster,"Flying.    At the beginning of your upkeep, return target Spirit card from your graveyard to your hand.",Lapsing,,,,
Angel of Fury,"Flying.    When Angel of Fury is put into your graveyard from the battlefield, you may shuffle it into your library.",Optional,,,,
Angel of Glory's Rise,"Flying.    When Angel of Glory's Rise enters the battlefield, exile all Zombies, then return all Human creature cards from your graveyard to the battlefield.",Mandatory,,,,
Angel of Jubilation,Flying.    Other nonblack creatures you control get +1/+1.    Players can't pay life or sacrifice creatures to cast spells or activate abilities.,,,,,
Angel of Light,"Flying, vigilance",,,,,
Angel of Mercy,"Flying.    When Angel of Mercy enters the battlefield, you gain 3 life.",Lapsing,,,,
Angel of Retribution,"Flying, first strike",,,,,
Angel of Salvation,"Flash, convoke, flying.    When Angel of Salvation enters the battlefield, prevent the next 5 damage that would be dealt this turn to any number of target creatures and/or players, divided as you choose.",Lapsing,,,,
Angelfire Crusader,R: Angelfire Crusader gets +1/+0 until end of turn.,,,,,
Angelheart Vial,"Whenever you're dealt damage, you may put that many charge counters on Angelheart Vial.    2, T, Remove four charge counters from Angelheart Vial: You gain 2 life and draw a card.",Optional,,,,
Angelic Arbiter,Flying.    Each opponent who cast a spell this turn can't attack with creatures.    Each opponent who attacked with a creature this turn can't cast spells.,,,,,
Angelic Armaments,"Equipped creature gets +2/+2, has flying, and is a white Angel in addition to its other colors and types.    Equip 4",,,,,
Angelic Benediction,"Exalted.    Whenever a creature you control attacks alone, you may tap target creature.",No visual effect,Optional,,,
Angelic Blessing,Target creature gets +3/+3 and gains flying until end of turn.,,,,,
Angelic Chorus,"Whenever a creature enters the battlefield under your control, you gain life equal to its toughness.",Lapsing,,,,
Angelic Curator,"Flying, protection from artifacts",,,,,
Angelic Destiny,"Enchant creature.    Enchanted creature gets +4/+4, has flying and first strike, and is an Angel in addition to its other types.    When enchanted creature dies, return Angelic Destiny to its owner's hand.",Lapsing,,,,
Angelic Favor,"If you control a Plains, you may tap an untapped creature you control rather than pay Angelic Favor's mana cost.    Cast Angelic Favor only during combat.    Put a 4/4 white Angel creature token with flying onto the battlefield.  Exile it at the beginning of the next end step.",Mandatory,,,,
Angelic Overseer,"Flying.    As long as you control a Human, Angelic Overseer has hexproof and is indestructible.",,,,,
Angelic Page,Flying.    T: Target attacking or blocking creature gets +1/+1 until end of turn.,,,,,
Angelic Protector,"Flying.    Whenever Angelic Protector becomes the target of a spell or ability, Angelic Protector gets +0/+3 until end of turn.",No visual effect,,,,
Angelic Renewal,"Whenever a creature is put into your graveyard from the battlefield, you may sacrifice Angelic Renewal.  If you do, return that card to the battlefield.",Optional,,,,
Angelic Shield,Creatures you control get +0/+1.    Sacrifice Angelic Shield: Return target creature to its owner's hand.,,,,,
Angelic Voices,"Creatures you control get +1/+1 as long as you control no nonartifact, nonwhite creatures.",,,,,
Angelic Wall,"Defender, flying",,,,,
Angel's Feather,"Whenever a player casts a white spell, you may gain 1 life.",Optional,,,,
Angel's Grace,"Split second.    You can't lose the game this turn and your opponents can't win the game this turn.  Until end of turn, damage that would reduce your life total to less than 1 reduces it to 1 instead.",,,,,
Angel's Herald,"2W, T, Sacrifice a green creature, a white creature, and a blue creature: Search your library for a card named Empyrial Archangel and put it onto the battlefield.  Then shuffle your library.",,,,,
Angel's Mercy,You gain 7 life.,,,,,
Angel's Tomb,"Whenever a creature enters the battlefield under your control, you may have Angel's Tomb become a 3/3 white Angel artifact creature with flying until end of turn.",Optional,,,,
Angel's Trumpet,"All creatures have vigilance.    At the beginning of each player's end step, tap all untapped creatures that player controls that didn't attack this turn.  Angel's Trumpet deals damage to that player equal to the number of creatures tapped this way.",Mandatory,,,,
Angelsong,Prevent all combat damage that would be dealt this turn.    Cycling 2.,,,,,
Anger,"Haste.    As long as Anger is in your graveyard and you control a Mountain, creatures you control have haste.",,,,,
Angry Mob,"Trample.    As long as it's your turn, Angry Mob's power and toughness are each equal to 2 plus the number of Swamps your opponents control.  As long as it's not your turn, Angry Mob's power and toughness are each 2.",,,,,
Angus Mackenzie,"GWU, T: Prevent all combat damage that would be dealt this turn.  Activate this ability only before the combat damage step.",,,,,
An-Havva Constable,An-Havva Constable's toughness is equal to 1 plus the number of green creatures on the battlefield.,,,,,
An-Havva Inn,"You gain X plus 1 life, where X is the number of green creatures on the battlefield.",,,,,
An-Havva Township,"T: Add 1 to your mana pool.    1, T: Add G to your mana pool.    2, T: Add R or W to your mana pool.",,,,,
Animal Boneyard,"Enchant land.    Enchanted land has ""T, Sacrifice a creature: You gain life equal to that creature's toughness.""",,,,,
Animal Magnetism,Reveal the top five cards of your library.  An opponent chooses a creature card from among them.  Put that card onto the battlefield and the rest into your graveyard.,,,,,
"Animar, Soul of Elements","Protection from white and from black.    Whenever you cast a creature spell, put a +1/+1 counter on Animar, Soul of Elements.    Creature spells you cast cost 1 less to cast for each +1/+1 counter on Animar.",Lapsing,,,,
Animate Artifact,"Enchant artifact.    As long as enchanted artifact isn't a creature, it's an artifact creature with power and toughness each equal to its converted mana cost.",,,,,
Animate Dead,"Enchant creature card in a graveyard.    When Animate Dead enters the battlefield, if it's on the battlefield, it loses ""enchant creature card in a graveyard"" and gains ""enchant creature put onto the battlefield with Animate Dead.""  Return enchanted creature card to the battlefield under your control and attach Animate Dead to it.  When Animate Dead leaves the battlefield, that creature's controller sacrifices it.    Enchanted creature gets -1/-0.",Mandatory,,,,
Animate Land,"Until end of turn, target land becomes a 3/3 creature that's still a land.",,,,,
Animate Wall,Enchant Wall.    Enchanted Wall can attack as though it didn't have Defender.,,,,,
Ankh of Mishra,"Whenever a land enters the battlefield, Ankh of Mishra deals 2 damage to that land's controller.",Mandatory,,,,
Annex,Enchant land.    You control enchanted land.,,,,,
Annihilate,Destroy target nonblack creature.  It can't be regenerated.    Draw a card.,,,,,
Annul,Counter target artifact or enchantment spell.,,,,,
Anodet Lurker,"When Anodet Lurker dies, you gain 3 life.",Lapsing,,,,
Anoint,Buyback 3.    Prevent the next 3 damage that would be dealt to target creature this turn.,,,,,
"Anowon, the Ruin Sage","At the beginning of your upkeep, each player sacrifices a non-Vampire creature.",Mandatory,,,,
Ant Queen,1G: Put a 1/1 green Insect creature token onto the battlefield.,,,,,
Antagonism,"At the beginning of each player's end step, Antagonism deals 2 damage to that player unless one of his or her opponents was dealt damage this turn.",Mandatory,,,,
Anthem of Rakdos,"Whenever a creature you control attacks, it gets +2/+0 until end of turn and Anthem of Rakdos deals 1 damage to you.    Hellbent - As long as you have no cards in hand, if a source you control would deal damage to a creature or player, it deals double that damage to that creature or player instead.",Mandatory,,,,
Anthroplasm,"Anthroplasm enters the battlefield with two +1/+1 counters on it.    X, T: Remove all +1/+1 counters from Anthroplasm and put X +1/+1 counters on it.",,,,,
Anti-Magic Aura,Enchant creature.    Enchanted creature can't be the target of spells and can't be enchanted.  This effect doesn't remove Anti-Magic Aura.,,,,,
